A01	2430867
A01	2489107
A01	2491268
A01	2500899
A01	2623714
A01	2637060
A01	2647345
A01	4743536
A01	7655149
A01	10977197
A02	12835459
A02	15823627
A02	16536541
A02	19059597
A02	20541209
A02	24174893
A03	61484
A03	1789992
A04	22087
A04	4062810
A04	8387525
A05	1001867
A05	737913
A05	23123928
A06	7723010
A07	63087
A07	5290387
A07	10399621
A07	13265047
A08	9418856
A09	3795796
A09	9394531
A09	11632402
A01	2409594
A01	4327757
A01	7064966
A01	7930371
A01	16389241
A01	18851080
A01	27324562
A02	100294
A02	867352
A02	1776077
A02	15544551
A02	15918567
A02	16921080
A02	19686699
A02	21574020
A02	22284165
A03	637160
A03	2502027
A04	815447
A04	7348382
A04	12349659
A05	2137822
A05	18736159
A06	4775408
A06	8961972
A07	1449581
A07	7433456
A07	10890159
A07	14481740
A08	9873369
A09	6242453
A09	16171803
A09	23861376
A01	2504418
A01	2641609
A01	2913915
A01	3469386
A01	3818817
A01	7221303
A01	10485034
A01	12763397
A01	22687847
A01	24666769
A02	15281524
A02	16080327
A02	18094093
A02	20219175
A02	23763356
A02	24429792
A03	1012102
A03	3325270
A04	1864590
A04	5923297
A04	13578113
A05	1290386
A05	21349738
A06	6389171
A06	9950575
A07	4582255
A07	8435438
A07	11721737
A07	21482863
A08	16903886
A09	7510294
A09	25567716
A10	126329
A10	4785014
